268,Brazil-2,74
269,Solomon Islands,185
270,Dolfijn,51
271,Senegal,186
272,Cape Verde,187
273,Tip,2
274,Yugoslavia-1,161
275,rn-2,5
276,Crete,188
277,Breslau,131
278,Germany-3,41
279,Romania-2,7
280,Club Nautique de Dieppe-5,9
281,Norna,6
282,Fram,6
283,Magda IX,6
284,Soviet Union-3,28
285,Equatorial Guinea,189
286,Bolivia,190
287,Saar,191
288,Andorra,192
289,Japan-2,71
290,Austria-1,131
291,Austria-2,131
292,Antigua and Barbuda,193
293,EA II,9
294,Canada-3,42
295,Czechoslovakia-3,118
296,Linglom,149
297,Denmark-2,2
298,Mosk II,6
299,Latvia-2,91
300,Elisabeth X,6
301,Sweden-3,80
302,Ludwigshafener Ruderverein,41
303,Australia-2,44
304,Latvia-1,91
305,Guyoni,9
306,Greece-1,23
307,Greece-2,23
308,West Germany-2,75
309,"La Salle Turnverein, Chicago",4
310,Gallant,4
311,Zimbabwe,194
312,Grenada,195
313,Hera-1,88
314,Swedish Star,80
315,Bulgaria-1,14
316,Nautikos Omilos-3,23
317,Wolseley-Siddeley-1,88
318,Hong Kong,196
319,Ciocca II,15
320,Mirtala,15
321,Saint Lucia,197
322,Carabinier-5,9
323,Pettit-Poucet-6,9
324,Carabinier-15,9
325,Federated States of Micronesia,198
326,Myanmar,199
327,Hirondelle,77
328,Kerstin-1,80
329,Evita VI,131
330,Ukraine-2,87
331,Russia-3,19
332,Malawi,200
333,Belarus-1,22
334,United States-3,4
335,Bronia,41
336,Zambia,201
337,Denmark-1,2
338,Bluebottle,88
339,West Germany-1,75
340,Rhodesia,202
341,East Germany-2,76
342,Snap,2
343,Chinese Taipei-1,203
344,Sao Tome and Principe,204
345,Toronto Argonauts,42
346,England-1,88
347,Hungaria Evezos Egylet,30
348,Poland-1,95
349,Macedonia,205
350,Bohemia,206
351,Argonaut Rowing Club,42
352,"Life boat naval ship ""Spetsai""-1",23
353,Australia-1,44
354,Tonga,207
355,Nigeria-1,31
356,Fortuna,88
357,Starlight III,88
358,Liechtenstein,208
359,Pan,6
360,Montenegro,209
361,Leander Club-2,88
362,"Lemzos Thorichton ""Psara""-3",23
363,London City Police-1,88
364,Great Britain-3,88
365,Sabre,88
366,Firebird II,123
367,Berliner Ruderverein von 1876-2,41
368,Christian Brothers' College-1,4
369,Czechoslovakia-1,118
370,Czechoslovakia-2,118
371,"Passaic Turnverein, Passaic",4
372,Primorka,161
373,Gambia,210
374,Racing Club de France,9
375,Grifo III,103
376,Grifo IV,103
377,Bingo,4
378,Damoiselle IV,77
379,Crabe II-12,9
380,Nina Claire-30,9
381,Crabe II-1,9
382,Crabe II-4,9
383,Nina Claire-2,9
384,Qu'Importe,9
385,Konstanz,161
386,Suzy-2,51
387,Mouchette-2,88
388,Dansk Idrts Forbund,2
389,Marmara,25
390,Moseley Wanderers,88
391,Chicago Athletic Association-2,4
392,Devon and Somerset Wanderers,88
393,Unified Team-2,70
394,Mistral Hojris,88
395,Cook Islands,211
396,Mauritius-2,116
397,Albania,212
398,Romania-1,7
399,Pampero,20
400,Israel-2,78
401,Symphony,103
402,Sjhxa,103
403,Faneca,103
404,Ciocca III,103
405,"Marinai della nave da guerra ""Varese""",15
406,Lalage,88
407,Gallia II,19
408,Dinah V,41
409,Czech Republic-2,121
410,Nora,6
411,Monica,6
412,Kullan,80
413,Shoveller,45
414,Amateur Athletic Association,88
415,Circus,213
416,Aletta,43
417,Widgeon,4
418,Inca,74
419,Czech Republic-1,121
420,Relampago,44
421,Foxhunters Hurlingham,88
422,Thames Rowing Club,88
423,"Davenport Turngemeinde, Davenport",4
424,"Norwegier Turnverein, Brooklyn",4
425,Erna Signe,80
426,Sirene,6
427,Socit Nautique de Bayonne-2,9
428,Socit Nautique de Bayonne-1,9
429,Anitra,2
430,Snude,2
431,White Lady,2
432,Web II,2
433,Web III,2
434,Italy-3,15
435,Pistoja/Firenze,15
436,West Indies Federation,213
437,Posillipo III,11
438,Tritons Lillois-2,9
439,"Turnverein Vorwrts, Cleveland",4
440,Club Nautique de Franais-1,9
441,Monaco-1,77
442,Boreas-2,3
443,Peri,202
444,"New York Turnverein, New York",4
445,Tichiboo,149
446,Siames-Cat,149
447,Swaziland,214
448,India-1,57
449,Italia,15
450,Ausonia,15
451,Angelita,4
452,Burkina Faso,215
453,Nortazo,79
454,Tom Kyle,41
455,Tilly,41
456,Esterel-1,9
457,North Borneo,216
458,Wiking,20
459,Buraddoo,44
460,Heroine,88
461,Burundi,217
462,Chok,2
463,Atlanta,6
464,Germania II,41
465,Wannsee,41
466,Polyteknisk Roklub-1,2
467,Aruba,218
468,Buscape II,74
469,Nina,5
470,Norway-3,6
471,Kristiania Roklub-1,6
472,Kristiania Roklub,6
473,Ormsund Roklub-2,6
474,Chuckles,88
475,South Africa-2,45
476,Chinese Taipei,203
477,Winnipeg Shamrocks-1,42
478,Olle,9
479,United States-10,4
480,Camelia,103
481,Aschenbrodel,41
482,Whitini Star,9
483,Puerto Rico-1,111
484,Bera,6
485,Netherlands-2,3
486,Slaghoken,80
487,Slaghoken II,80
488,Great Britain/Germany,88
489,Nikh,23
490,Swift,88
491,Andorinha,74
492,Unified Team-1,70
493,Cupidon III,20
494,Athens-2,23
495,Bulgaria-2,14
496,Marga-2,80
497,Serendipity,42
498,L'Aile VI,9
499,Cercle de l'Aviron Roubaix-4,9
500,Caprice,42
501,"New College, Oxford-2",88
502,Compigne Polo Club,9
503,Vision,88
504,Cambridge University Boat Club-2,88
505,Trickson VI,42
506,St. Rose-2,4
507,Calcinhas,103
508,Gteborgs Roddfrening-2,80
509,Minerva Amsterdam,3
510,Chamukina,27
511,Nausikaa 4,27
512,New York Athletic Club-1,4
513,Arcturus,20
514,Belgium-1,51
515,St. Louis Southwest Turnverein #1-2,4
516,Nauru,219
517,Jo,6
518,Lucky Star,88
519,Namoussa,9
520,Briar,80
521,Panhellenios Gymnastikos Syllogos-1,23
522,Netherlands-1,3
523,Gabbiano,44
524,Gran Gesto,42
525,Ceres II,88
526,Covunco III,20
527,Chicago Archers,4
528,Royal Club Nautique de Gand,51
529,Roddklubben af 1912-1,80
530,Roddklubben af 1912-2,80
531,Bucintoro Venezia-1,15
532,Bucintoro Venezia,15
533,Edelweiss II-1,51
534,Bamba,15
535,Rush IV,4
536,Boston Archers,4
537,Ali-Baba IV,73
538,Ali-Baba VI,73
539,Ali-Baba IX,73
540,Upton Park FC,88
541,"BLO Polo Club, Rugby",88
542,Hurlingham-2,88
543,Leander Club-1,88
544,Indonesia-2,64
545,Western Rowing Club-3,4
546,Pigoule,9
547,South Vietnam,220
548,Snowten III,9
549,Hungaria,30
550,Libellule de Paris,88
551,Scram,42
552,United States Virgin Islands-2,81
553,United States Virgin Islands-1,81
554,Amstel Amsterdam,3
555,Scotland-3,88
556,Peri II,194
557,Liverpool Police Team-2,88
558,Vinha,44
559,Fantasio III,73
560,Pousse-Moi Pas VII,73
561,Norwegian Rowing Association,6
562,LaBandera,9
563,Gilliatt V,9
564,United States Golf Association-3,4
565,Trans-Mississippi Golf Association-2,4
566,China-2,1
567,China-1,1
568,Sarcelle-35,9
