1,1,1
2,2,1
3,3,1
4,4,2
5,5,1
6,5,1
5,5,1
6,5,1
5,5,1
6,5,1
7,6,1
8,6,1
9,6,1
10,6,1
7,6,1
11,6,1
9,6,1
10,6,1
7,7,1
8,7,1
9,7,1
10,7,1
7,7,1
11,7,1
9,7,1
10,7,1
12,8,1
13,8,1
14,9,1
15,10,1
11,11,1
16,12,1
17,13,1
17,13,1
18,14,1
19,15,1
20,15,1
19,15,3
20,15,3
19,15,1
14,16,3
21,17,3
22,17,2
23,17,1
24,17,2
25,17,1
26,17,1
27,17,1
28,17,2
21,17,1
22,17,3
23,17,1
24,17,1
25,17,1
26,17,1
27,17,1
28,17,1
29,18,1
30,19,1
31,20,1
32,20,2
33,20,3
34,20,1
31,20,4
32,20,3
33,20,1
34,20,1
35,20,4
31,20,1
32,20,1
33,20,1
35,20,1
31,20,1
32,20,2
33,20,1
34,20,1
35,20,2
31,20,1
32,20,2
36,21,2
37,22,1
38,23,1
38,23,1
39,24,1
40,24,1
40,24,1
41,25,4
42,26,1
43,27,1
44,28,1
44,28,1
45,29,3
46,30,4
46,30,1
47,31,1
48,32,1
49,33,1
49,33,1
50,34,1
51,35,1
52,36,1
53,36,1
54,36,1
52,36,1
53,36,1
55,37,3
41,38,4
56,39,1
57,39,1
58,39,1
40,40,3
40,40,1
59,40,1
40,40,2
59,40,1
60,40,1
3,41,1
61,42,2
62,43,1
11,44,1
8,44,1
63,44,1
8,44,1
10,44,1
64,45,1
65,46,1
65,46,1
66,46,1
66,46,1
66,46,1
67,47,1
68,47,1
68,47,1
68,47,1
69,48,1
70,49,1
70,49,1
71,50,1
71,50,1
21,51,1
23,51,1
25,51,1
26,51,1
27,51,1
28,51,1
47,52,1
72,53,1
73,54,1
74,55,1
75,56,1
76,56,2
69,57,1
75,58,1
76,58,1
77,59,1
78,59,1
78,60,1
3,61,1
79,62,3
57,63,3
80,64,1
81,65,3
82,66,1
70,67,4
70,67,1
52,68,1
54,68,1
83,69,1
84,70,1
85,71,1
86,71,1
87,72,1
87,72,2
88,73,2
88,73,2
88,73,4
89,74,1
57,75,1
3,76,2
90,77,1
91,78,1
92,79,1
43,80,2
3,81,1
93,82,1
94,83,1
95,84,4
96,85,1
96,85,2
96,85,1
50,86,1
50,86,3
38,87,1
97,88,1
98,89,1
99,90,4
100,90,1
101,91,1
3,92,1
88,93,1
88,93,2
102,94,1
103,95,1
104,96,1
48,97,1
56,98,1
105,98,1
106,98,1
106,99,4
107,100,1
108,100,3
109,101,1
3,102,1
3,102,1
110,103,3
104,104,1
111,105,1
90,105,1
112,106,2
113,106,2
112,106,2
114,107,2
114,107,2
114,107,4
98,107,1
114,108,1
114,108,2
114,108,2
114,108,4
115,109,1
67,109,1
115,109,1
116,110,1
117,111,1
77,112,1
3,113,1
68,114,1
115,115,1
118,116,1
118,116,1
116,117,1
119,117,1
75,118,1
84,119,1
107,120,1
33,121,1
78,122,1
120,123,1
120,123,1
120,123,1
1,124,1
120,125,1
121,126,1
120,127,1
120,127,1
120,127,1
122,128,1
104,129,1
123,130,1
124,131,1
125,132,1
21,133,1
3,134,1
36,135,1
1,136,1
126,137,1
126,137,1
127,138,1
3,139,3
44,140,1
44,140,1
128,141,1
129,141,1
74,142,1
120,143,3
120,144,1
126,145,1
126,145,1
130,145,3
86,145,1
44,147,1
131,148,1
132,149,1
133,150,2
133,151,1
44,152,1
134,153,4
135,154,1
38,155,1
38,155,1
136,155,1
137,156,1
88,157,1
88,157,1
138,158,1
139,159,1
140,159,1
140,159,1
74,160,1
137,161,1
88,162,1
88,162,1
21,163,1
22,163,1
23,163,1
24,163,1
25,163,1
26,163,1
27,163,1
28,163,1
56,164,1
141,165,4
142,166,1
143,166,1
144,167,1
104,168,1
145,169,1
146,170,1
137,171,1
147,172,1
3,173,1
3,174,1
142,175,1
68,176,1
75,177,1
92,178,1
109,178,1
148,179,1
143,179,1
139,180,1
139,180,1
139,181,1
120,182,1
98,183,1
43,184,1
56,185,1
105,185,1
58,185,1
105,185,1
58,185,1
43,186,1
149,187,1
137,188,1
92,189,1
95,190,1
3,191,1
1,192,1
43,193,1
107,193,1
150,193,1
43,193,1
107,193,1
43,193,1
104,194,1
151,195,1
151,195,1
88,196,1
152,197,1
88,198,1
1,199,1
1,199,1
88,200,1
43,201,1
1,202,1
1,202,1
137,203,1
137,203,1
116,204,1
98,205,1
43,206,1
43,206,1
153,207,1
57,207,1
58,207,1
57,207,1
58,207,1
153,207,1
106,207,1
111,208,1
43,209,1
137,210,1
105,211,1
56,211,1
105,211,1
154,212,1
155,213,1
156,213,1
155,213,1
3,214,1
58,215,1
157,216,1
158,217,1
159,218,1
98,219,1
98,220,1
88,221,1
158,222,1
21,223,1
22,223,1
23,223,1
24,223,1
25,223,1
26,223,1
27,223,1
28,223,1
