1,Tornado
2,Flood
3,Fire
4,Other
5,Earthquake
6,Hurricane
7,Volcano
8,Severe Storm(s)
9,Toxic Substances
10,Typhoon
11,Drought
12,Dam/Levee Break
13,Snow
14,Severe Ice Storm
15,Freezing
16,Coastal Storm
17,Fishing Losses
18,Mud/Landslide
19,Human Cause
20,Terrorist
21,Tsunami
22,Chemical
23,Biological
